epoch  5, iter 5301: loss: 0.05576524 | lr: 0.00009755  | spend time: 0 days  0 hours 38 minutes 10 seconds
epoch  5, iter 5401: loss: 0.05699566 | lr: 0.00009755  | spend time: 0 days  0 hours 38 minutes 53 seconds
epoch  5, iter 5501: loss: 0.05508316 | lr: 0.00009755  | spend time: 0 days  0 hours 39 minutes 35 seconds
epoch  5, iter 5601: loss: 0.05501445 | lr: 0.00009755  | spend time: 0 days  0 hours 40 minutes 17 seconds
epoch  5, iter 5701: loss: 0.05756478 | lr: 0.00009755  | spend time: 0 days  0 hours 40 minutes 59 seconds
epoch  5, iter 5801: loss: 0.05470994 | lr: 0.00009755  | spend time: 0 days  0 hours 41 minutes 41 seconds
epoch  5, iter 5901: loss: 0.05597655 | lr: 0.00009755  | spend time: 0 days  0 hours 42 minutes 23 seconds
epoch  5, iter 6001: loss: 0.05574335 | lr: 0.00009755  | spend time: 0 days  0 hours 43 minutes  5 seconds
epoch  5, iter 6101: loss: 0.05575955 | lr: 0.00009755  | spend time: 0 days  0 hours 43 minutes 47 seconds
epoch  5, iter 6201: loss: 0.05578423 | lr: 0.00009755  | spend time: 0 days  0 hours 44 minutes 29 seconds
epoch  5, iter 6301: loss: 0.05636425 | lr: 0.00009755  | spend time: 0 days  0 hours 45 minutes 11 seconds
epoch  5, iter 6401: loss: 0.05612076 | lr: 0.00009755  | spend time: 0 days  0 hours 45 minutes 53 seconds
epoch  5, iter 6501: loss: 0.05640852 | lr: 0.00009755  | spend time: 0 days  0 hours 46 minutes 35 seconds
epoch  5, iter 6601: loss: 0.05482188 | lr: 0.00009755  | spend time: 0 days  0 hours 47 minutes 17 seconds
epoch  5, iter 6701: loss: 0.05516333 | lr: 0.00009755  | spend time: 0 days  0 hours 47 minutes 59 seconds
epoch  5, iter 6801: loss: 0.05556591 | lr: 0.00009755  | spend time: 0 days  0 hours 48 minutes 42 seconds
epoch  5, iter 6901: loss: 0.05540415 | lr: 0.00009755  | spend time: 0 days  0 hours 49 minutes 24 seconds
epoch  5, iter 7001: loss: 0.05553959 | lr: 0.00009755  | spend time: 0 days  0 hours 50 minutes  6 seconds
epoch  5, iter 7101: loss: 0.05661760 | lr: 0.00009755  | spend time: 0 days  0 hours 50 minutes 48 seconds
epoch  5, iter 7201: loss: 0.05654275 | lr: 0.00009755  | spend time: 0 days  0 hours 51 minutes 30 seconds
epoch  5, iter 7301: loss: 0.05414678 | lr: 0.00009755  | spend time: 0 days  0 hours 52 minutes 12 seconds
epoch  5, iter 7401: loss: 0.05687916 | lr: 0.00009755  | spend time: 0 days  0 hours 52 minutes 54 seconds
epoch  5, iter 7501: loss: 0.05672139 | lr: 0.00009755  | spend time: 0 days  0 hours 53 minutes 36 seconds
epoch  5, iter 7601: loss: 0.05631706 | lr: 0.00009755  | spend time: 0 days  0 hours 54 minutes 18 seconds
epoch  5, iter 7701: loss: 0.05568074 | lr: 0.00009755  | spend time: 0 days  0 hours 55 minutes  0 seconds
epoch  5, iter 7801: loss: 0.05556364 | lr: 0.00009755  | spend time: 0 days  0 hours 55 minutes 42 seconds
epoch  5, iter 7901: loss: 0.05558365 | lr: 0.00009755  | spend time: 0 days  0 hours 56 minutes 24 seconds
epoch  5, iter 8001: loss: 0.05536149 | lr: 0.00009755  | spend time: 0 days  0 hours 57 minutes  6 seconds
epoch  5, iter 8101: loss: 0.05629530 | lr: 0.00009755  | spend time: 0 days  0 hours 57 minutes 48 seconds
epoch  5, iter 8201: loss: 0.05699401 | lr: 0.00009755  | spend time: 0 days  0 hours 58 minutes 31 seconds
epoch  5, iter 8301: loss: 0.05536180 | lr: 0.00009755  | spend time: 0 days  0 hours 59 minutes 13 seconds
epoch  5, iter 8401: loss: 0.05612626 | lr: 0.00009755  | spend time: 0 days  0 hours 59 minutes 55 seconds
epoch  5, iter 8501: loss: 0.05609104 | lr: 0.00009755  | spend time: 0 days  1 hours  0 minutes 37 seconds
epoch  5, iter 8601: loss: 0.05611612 | lr: 0.00009755  | spend time: 0 days  1 hours  1 minutes 19 seconds
epoch  5, iter 8701: loss: 0.05582804 | lr: 0.00009755  | spend time: 0 days  1 hours  2 minutes  1 seconds
epoch  5, iter 8801: loss: 0.05662259 | lr: 0.00009755  | spend time: 0 days  1 hours  2 minutes 43 seconds
epoch  5, iter 8901: loss: 0.05546894 | lr: 0.00009755  | spend time: 0 days  1 hours  3 minutes 25 seconds
validing 5/20 model ...
Avg Loss: 0.056
AP_total: 0.8040 | AP_pedestrian: 0.8075 | AP_cyclist: 0.7689 | AP_car: 0.8378 
AR_total: 0.8871 | AR_pedestrian: 0.8815 | AR_cyclist: 0.8723 | AR_car: 0.9129 
epoch  6, iter    1: loss: 0.05487428 | lr: 0.00009619  | spend time: 0 days  1 hours 10 minutes 56 seconds
epoch  6, iter  101: loss: 0.05557135 | lr: 0.00009619  | spend time: 0 days  1 hours 11 minutes 38 seconds
epoch  6, iter  201: loss: 0.05522589 | lr: 0.00009619  | spend time: 0 days  1 hours 12 minutes 20 seconds
epoch  6, iter  301: loss: 0.05775689 | lr: 0.00009619  | spend time: 0 days  1 hours 13 minutes  2 seconds
epoch  6, iter  401: loss: 0.05544602 | lr: 0.00009619  | spend time: 0 days  1 hours 13 minutes 44 seconds
epoch  6, iter  501: loss: 0.05658608 | lr: 0.00009619  | spend time: 0 days  1 hours 14 minutes 27 seconds
epoch  6, iter  601: loss: 0.05558660 | lr: 0.00009619  | spend time: 0 days  1 hours 15 minutes  9 seconds
epoch  6, iter  701: loss: 0.05544597 | lr: 0.00009619  | spend time: 0 days  1 hours 15 minutes 51 seconds
epoch  6, iter  801: loss: 0.05411530 | lr: 0.00009619  | spend time: 0 days  1 hours 16 minutes 33 seconds
epoch  6, iter  901: loss: 0.05545217 | lr: 0.00009619  | spend time: 0 days  1 hours 17 minutes 15 seconds
epoch  6, iter 1001: loss: 0.05537203 | lr: 0.00009619  | spend time: 0 days  1 hours 17 minutes 58 seconds
epoch  6, iter 1101: loss: 0.05487493 | lr: 0.00009619  | spend time: 0 days  1 hours 18 minutes 40 seconds
epoch  6, iter 1201: loss: 0.05508797 | lr: 0.00009619  | spend time: 0 days  1 hours 19 minutes 22 seconds
epoch  6, iter 1301: loss: 0.05597977 | lr: 0.00009619  | spend time: 0 days  1 hours 20 minutes  5 seconds
epoch  6, iter 1401: loss: 0.05561686 | lr: 0.00009619  | spend time: 0 days  1 hours 20 minutes 47 seconds
epoch  6, iter 1501: loss: 0.05520952 | lr: 0.00009619  | spend time: 0 days  1 hours 21 minutes 29 seconds
epoch  6, iter 1601: loss: 0.05510669 | lr: 0.00009619  | spend time: 0 days  1 hours 22 minutes 11 seconds
epoch  6, iter 1701: loss: 0.05565974 | lr: 0.00009619  | spend time: 0 days  1 hours 22 minutes 53 seconds
epoch  6, iter 1801: loss: 0.05632645 | lr: 0.00009619  | spend time: 0 days  1 hours 23 minutes 35 seconds
epoch  6, iter 1901: loss: 0.05532886 | lr: 0.00009619  | spend time: 0 days  1 hours 24 minutes 18 seconds
epoch  6, iter 2001: loss: 0.05548356 | lr: 0.00009619  | spend time: 0 days  1 hours 25 minutes  0 seconds
epoch  6, iter 2101: loss: 0.05468636 | lr: 0.00009619  | spend time: 0 days  1 hours 25 minutes 42 seconds
epoch  6, iter 2201: loss: 0.05571322 | lr: 0.00009619  | spend time: 0 days  1 hours 26 minutes 24 seconds
epoch  6, iter 2301: loss: 0.05658896 | lr: 0.00009619  | spend time: 0 days  1 hours 27 minutes  6 seconds
epoch  6, iter 2401: loss: 0.05549813 | lr: 0.00009619  | spend time: 0 days  1 hours 27 minutes 48 seconds
epoch  6, iter 2501: loss: 0.05435114 | lr: 0.00009619  | spend time: 0 days  1 hours 28 minutes 30 seconds
epoch  6, iter 2601: loss: 0.05684226 | lr: 0.00009619  | spend time: 0 days  1 hours 29 minutes 13 seconds
epoch  6, iter 2701: loss: 0.05653172 | lr: 0.00009619  | spend time: 0 days  1 hours 29 minutes 55 seconds
epoch  6, iter 2801: loss: 0.05550253 | lr: 0.00009619  | spend time: 0 days  1 hours 30 minutes 37 seconds
epoch  6, iter 2901: loss: 0.05572197 | lr: 0.00009619  | spend time: 0 days  1 hours 31 minutes 19 seconds
epoch  6, iter 3001: loss: 0.05543903 | lr: 0.00009619  | spend time: 0 days  1 hours 32 minutes  1 seconds
epoch  6, iter 3101: loss: 0.05425037 | lr: 0.00009619  | spend time: 0 days  1 hours 32 minutes 43 seconds
epoch  6, iter 3201: loss: 0.05660319 | lr: 0.00009619  | spend time: 0 days  1 hours 33 minutes 26 seconds
epoch  6, iter 3301: loss: 0.05629494 | lr: 0.00009619  | spend time: 0 days  1 hours 34 minutes  8 seconds
epoch  6, iter 3401: loss: 0.05497695 | lr: 0.00009619  | spend time: 0 days  1 hours 34 minutes 50 seconds
epoch  6, iter 3501: loss: 0.05656266 | lr: 0.00009619  | spend time: 0 days  1 hours 35 minutes 32 seconds
epoch  6, iter 3601: loss: 0.05536197 | lr: 0.00009619  | spend time: 0 days  1 hours 36 minutes 15 seconds
epoch  6, iter 3701: loss: 0.05614367 | lr: 0.00009619  | spend time: 0 days  1 hours 36 minutes 57 seconds
epoch  6, iter 3801: loss: 0.05539365 | lr: 0.00009619  | spend time: 0 days  1 hours 37 minutes 39 seconds
epoch  6, iter 3901: loss: 0.05677101 | lr: 0.00009619  | spend time: 0 days  1 hours 38 minutes 21 seconds
epoch  6, iter 4001: loss: 0.05545752 | lr: 0.00009619  | spend time: 0 days  1 hours 39 minutes  3 seconds
epoch  6, iter 4101: loss: 0.05523755 | lr: 0.00009619  | spend time: 0 days  1 hours 39 minutes 46 seconds
epoch  6, iter 4201: loss: 0.05564424 | lr: 0.00009619  | spend time: 0 days  1 hours 40 minutes 28 seconds
epoch  6, iter 4301: loss: 0.05862763 | lr: 0.00009619  | spend time: 0 days  1 hours 41 minutes 10 seconds
epoch  6, iter 4401: loss: 0.05554849 | lr: 0.00009619  | spend time: 0 days  1 hours 41 minutes 52 seconds
epoch  6, iter 4501: loss: 0.05425538 | lr: 0.00009619  | spend time: 0 days  1 hours 42 minutes 34 seconds
epoch  6, iter 4601: loss: 0.05428428 | lr: 0.00009619  | spend time: 0 days  1 hours 43 minutes 16 seconds
epoch  6, iter 4701: loss: 0.05544850 | lr: 0.00009619  | spend time: 0 days  1 hours 43 minutes 58 seconds
epoch  6, iter 4801: loss: 0.05592282 | lr: 0.00009619  | spend time: 0 days  1 hours 44 minutes 40 seconds
epoch  6, iter 4901: loss: 0.05594251 | lr: 0.00009619  | spend time: 0 days  1 hours 45 minutes 23 seconds
epoch  6, iter 5001: loss: 0.05497621 | lr: 0.00009619  | spend time: 0 days  1 hours 46 minutes  5 seconds
epoch  6, iter 5101: loss: 0.05503286 | lr: 0.00009619  | spend time: 0 days  1 hours 46 minutes 47 seconds
epoch  6, iter 5201: loss: 0.05545696 | lr: 0.00009619  | spend time: 0 days  1 hours 47 minutes 29 seconds
epoch  6, iter 5301: loss: 0.05594064 | lr: 0.00009619  | spend time: 0 days  1 hours 48 minutes 11 seconds
epoch  6, iter 5401: loss: 0.05714988 | lr: 0.00009619  | spend time: 0 days  1 hours 48 minutes 54 seconds
epoch  6, iter 5501: loss: 0.05438947 | lr: 0.00009619  | spend time: 0 days  1 hours 49 minutes 36 seconds
epoch  6, iter 5601: loss: 0.05599589 | lr: 0.00009619  | spend time: 0 days  1 hours 50 minutes 18 seconds
epoch  6, iter 5701: loss: 0.05619071 | lr: 0.00009619  | spend time: 0 days  1 hours 51 minutes  0 seconds
epoch  6, iter 5801: loss: 0.05788387 | lr: 0.00009619  | spend time: 0 days  1 hours 51 minutes 42 seconds
epoch  6, iter 5901: loss: 0.05548077 | lr: 0.00009619  | spend time: 0 days  1 hours 52 minutes 24 seconds
epoch  6, iter 6001: loss: 0.05406724 | lr: 0.00009619  | spend time: 0 days  1 hours 53 minutes  6 seconds
epoch  6, iter 6101: loss: 0.05571708 | lr: 0.00009619  | spend time: 0 days  1 hours 53 minutes 49 seconds
epoch  6, iter 6201: loss: 0.05564504 | lr: 0.00009619  | spend time: 0 days  1 hours 54 minutes 31 seconds
epoch  6, iter 6301: loss: 0.05586025 | lr: 0.00009619  | spend time: 0 days  1 hours 55 minutes 13 seconds
epoch  6, iter 6401: loss: 0.05798558 | lr: 0.00009619  | spend time: 0 days  1 hours 55 minutes 55 seconds
epoch  6, iter 6501: loss: 0.05403549 | lr: 0.00009619  | spend time: 0 days  1 hours 56 minutes 38 seconds
epoch  6, iter 6601: loss: 0.05619495 | lr: 0.00009619  | spend time: 0 days  1 hours 57 minutes 20 seconds
epoch  6, iter 6701: loss: 0.05627826 | lr: 0.00009619  | spend time: 0 days  1 hours 58 minutes  2 seconds
epoch  6, iter 6801: loss: 0.05534312 | lr: 0.00009619  | spend time: 0 days  1 hours 58 minutes 44 seconds
epoch  6, iter 6901: loss: 0.05451655 | lr: 0.00009619  | spend time: 0 days  1 hours 59 minutes 26 seconds
epoch  6, iter 7001: loss: 0.05556376 | lr: 0.00009619  | spend time: 0 days  2 hours  0 minutes  8 seconds
epoch  6, iter 7101: loss: 0.05566707 | lr: 0.00009619  | spend time: 0 days  2 hours  0 minutes 51 seconds
epoch  6, iter 7201: loss: 0.05508861 | lr: 0.00009619  | spend time: 0 days  2 hours  1 minutes 33 seconds
epoch  6, iter 7301: loss: 0.05535768 | lr: 0.00009619  | spend time: 0 days  2 hours  2 minutes 15 seconds
epoch  6, iter 7401: loss: 0.05531361 | lr: 0.00009619  | spend time: 0 days  2 hours  2 minutes 57 seconds
epoch  6, iter 7501: loss: 0.05516719 | lr: 0.00009619  | spend time: 0 days  2 hours  3 minutes 39 seconds
epoch  6, iter 7601: loss: 0.05662858 | lr: 0.00009619  | spend time: 0 days  2 hours  4 minutes 21 seconds
epoch  6, iter 7701: loss: 0.05575443 | lr: 0.00009619  | spend time: 0 days  2 hours  5 minutes  3 seconds
epoch  6, iter 7801: loss: 0.05595652 | lr: 0.00009619  | spend time: 0 days  2 hours  5 minutes 45 seconds
epoch  6, iter 7901: loss: 0.05553558 | lr: 0.00009619  | spend time: 0 days  2 hours  6 minutes 27 seconds
epoch  6, iter 8001: loss: 0.05681492 | lr: 0.00009619  | spend time: 0 days  2 hours  7 minutes  9 seconds
epoch  6, iter 8101: loss: 0.05520052 | lr: 0.00009619  | spend time: 0 days  2 hours  7 minutes 52 seconds
epoch  6, iter 8201: loss: 0.05390430 | lr: 0.00009619  | spend time: 0 days  2 hours  8 minutes 34 seconds
epoch  6, iter 8301: loss: 0.05785684 | lr: 0.00009619  | spend time: 0 days  2 hours  9 minutes 16 seconds
epoch  6, iter 8401: loss: 0.05549201 | lr: 0.00009619  | spend time: 0 days  2 hours  9 minutes 58 seconds
epoch  6, iter 8501: loss: 0.05555248 | lr: 0.00009619  | spend time: 0 days  2 hours 10 minutes 40 seconds
epoch  6, iter 8601: loss: 0.05537211 | lr: 0.00009619  | spend time: 0 days  2 hours 11 minutes 22 seconds
epoch  6, iter 8701: loss: 0.05667397 | lr: 0.00009619  | spend time: 0 days  2 hours 12 minutes  5 seconds
epoch  6, iter 8801: loss: 0.05695900 | lr: 0.00009619  | spend time: 0 days  2 hours 12 minutes 47 seconds
epoch  6, iter 8901: loss: 0.05598505 | lr: 0.00009619  | spend time: 0 days  2 hours 13 minutes 28 seconds
validing 6/20 model ...
Avg Loss: 0.056
AP_total: 0.8456 | AP_pedestrian: 0.8373 | AP_cyclist: 0.8560 | AP_car: 0.8474 
AR_total: 0.8936 | AR_pedestrian: 0.8857 | AR_cyclist: 0.8885 | AR_car: 0.9122 
epoch  7, iter    1: loss: 0.05531253 | lr: 0.00009455  | spend time: 0 days  2 hours 16 minutes 39 seconds
epoch  7, iter  101: loss: 0.05516401 | lr: 0.00009455  | spend time: 0 days  2 hours 17 minutes 21 seconds
epoch  7, iter  201: loss: 0.05512409 | lr: 0.00009455  | spend time: 0 days  2 hours 18 minutes  4 seconds
epoch  7, iter  301: loss: 0.05565874 | lr: 0.00009455  | spend time: 0 days  2 hours 18 minutes 46 seconds
epoch  7, iter  401: loss: 0.05626458 | lr: 0.00009455  | spend time: 0 days  2 hours 19 minutes 28 seconds
epoch  7, iter  501: loss: 0.05540302 | lr: 0.00009455  | spend time: 0 days  2 hours 20 minutes 10 seconds
epoch  7, iter  601: loss: 0.05522583 | lr: 0.00009455  | spend time: 0 days  2 hours 20 minutes 52 seconds
epoch  7, iter  701: loss: 0.05542145 | lr: 0.00009455  | spend time: 0 days  2 hours 21 minutes 34 seconds
epoch  7, iter  801: loss: 0.05573456 | lr: 0.00009455  | spend time: 0 days  2 hours 22 minutes 17 seconds
epoch  7, iter  901: loss: 0.06058924 | lr: 0.00009455  | spend time: 0 days  2 hours 22 minutes 59 seconds
epoch  7, iter 1001: loss: 0.05641945 | lr: 0.00009455  | spend time: 0 days  2 hours 23 minutes 41 seconds
epoch  7, iter 1101: loss: 0.05556028 | lr: 0.00009455  | spend time: 0 days  2 hours 24 minutes 23 seconds
epoch  7, iter 1201: loss: 0.05560417 | lr: 0.00009455  | spend time: 0 days  2 hours 25 minutes  5 seconds
epoch  7, iter 1301: loss: 0.05689868 | lr: 0.00009455  | spend time: 0 days  2 hours 25 minutes 48 seconds
epoch  7, iter 1401: loss: 0.05527486 | lr: 0.00009455  | spend time: 0 days  2 hours 26 minutes 30 seconds
epoch  7, iter 1501: loss: 0.05531334 | lr: 0.00009455  | spend time: 0 days  2 hours 27 minutes 12 seconds
epoch  7, iter 1601: loss: 0.05452305 | lr: 0.00009455  | spend time: 0 days  2 hours 27 minutes 54 seconds
epoch  7, iter 1701: loss: 0.05557308 | lr: 0.00009455  | spend time: 0 days  2 hours 28 minutes 36 seconds
epoch  7, iter 1801: loss: 0.05628932 | lr: 0.00009455  | spend time: 0 days  2 hours 29 minutes 18 seconds
epoch  7, iter 1901: loss: 0.05520190 | lr: 0.00009455  | spend time: 0 days  2 hours 30 minutes  0 seconds
epoch  7, iter 2001: loss: 0.05375249 | lr: 0.00009455  | spend time: 0 days  2 hours 30 minutes 42 seconds
epoch  7, iter 2101: loss: 0.05497559 | lr: 0.00009455  | spend time: 0 days  2 hours 31 minutes 24 seconds
epoch  7, iter 2201: loss: 0.05551410 | lr: 0.00009455  | spend time: 0 days  2 hours 32 minutes  6 seconds
epoch  7, iter 2301: loss: 0.05826589 | lr: 0.00009455  | spend time: 0 days  2 hours 32 minutes 48 seconds
epoch  7, iter 2401: loss: 0.05315662 | lr: 0.00009455  | spend time: 0 days  2 hours 33 minutes 31 seconds
epoch  7, iter 2501: loss: 0.05549493 | lr: 0.00009455  | spend time: 0 days  2 hours 34 minutes 13 seconds
epoch  7, iter 2601: loss: 0.05516338 | lr: 0.00009455  | spend time: 0 days  2 hours 34 minutes 55 seconds
epoch  7, iter 2701: loss: 0.05553588 | lr: 0.00009455  | spend time: 0 days  2 hours 35 minutes 37 seconds
epoch  7, iter 2801: loss: 0.05528113 | lr: 0.00009455  | spend time: 0 days  2 hours 36 minutes 19 seconds
epoch  7, iter 2901: loss: 0.05610055 | lr: 0.00009455  | spend time: 0 days  2 hours 37 minutes  1 seconds
epoch  7, iter 3001: loss: 0.05365247 | lr: 0.00009455  | spend time: 0 days  2 hours 37 minutes 43 seconds
epoch  7, iter 3101: loss: 0.05597430 | lr: 0.00009455  | spend time: 0 days  2 hours 38 minutes 26 seconds
epoch  7, iter 3201: loss: 0.05247844 | lr: 0.00009455  | spend time: 0 days  2 hours 39 minutes  8 seconds
epoch  7, iter 3301: loss: 0.05381678 | lr: 0.00009455  | spend time: 0 days  2 hours 39 minutes 50 seconds
epoch  7, iter 3401: loss: 0.05551473 | lr: 0.00009455  | spend time: 0 days  2 hours 40 minutes 32 seconds
epoch  7, iter 3501: loss: 0.05467790 | lr: 0.00009455  | spend time: 0 days  2 hours 41 minutes 14 seconds
epoch  7, iter 3601: loss: 0.05648031 | lr: 0.00009455  | spend time: 0 days  2 hours 41 minutes 57 seconds
epoch  7, iter 3701: loss: 0.05619622 | lr: 0.00009455  | spend time: 0 days  2 hours 42 minutes 39 seconds
epoch  7, iter 3801: loss: 0.05390656 | lr: 0.00009455  | spend time: 0 days  2 hours 43 minutes 21 seconds
epoch  7, iter 3901: loss: 0.05403602 | lr: 0.00009455  | spend time: 0 days  2 hours 44 minutes  3 seconds
epoch  7, iter 4001: loss: 0.05519707 | lr: 0.00009455  | spend time: 0 days  2 hours 44 minutes 45 seconds
epoch  7, iter 4101: loss: 0.05372830 | lr: 0.00009455  | spend time: 0 days  2 hours 45 minutes 27 seconds
epoch  7, iter 4201: loss: 0.05578886 | lr: 0.00009455  | spend time: 0 days  2 hours 46 minutes 10 seconds
epoch  7, iter 4301: loss: 0.05593044 | lr: 0.00009455  | spend time: 0 days  2 hours 46 minutes 52 seconds
epoch  7, iter 4401: loss: 0.05646210 | lr: 0.00009455  | spend time: 0 days  2 hours 47 minutes 34 seconds
epoch  7, iter 4501: loss: 0.05507791 | lr: 0.00009455  | spend time: 0 days  2 hours 48 minutes 16 seconds
epoch  7, iter 4601: loss: 0.05497667 | lr: 0.00009455  | spend time: 0 days  2 hours 48 minutes 58 seconds
epoch  7, iter 4701: loss: 0.05556631 | lr: 0.00009455  | spend time: 0 days  2 hours 49 minutes 40 seconds
epoch  7, iter 4801: loss: 0.05567559 | lr: 0.00009455  | spend time: 0 days  2 hours 50 minutes 23 seconds
